ability|cognition,knowledge,power,quality|inability
seemliness|grace,propriety|unseemliness
segregate|discriminate,divide,individual,insulate,isolate,mortal,part,person,separate,somebody,someone,soul|desegregate
segregated|isolated,lily-white,separate,white|integrated
segregation|separation,separatism,structure|integration
seldom|rarely|often
self-doubt|diffidence,timidity,timidness,timorousness|confidence
selfish|egocentric,egoistic,egoistical,egotistic,egotistical,narcissistic,self-seeking,self-serving,stingy,ungenerous|unselfish
selfless|altruistic,unselfish|egoistic
selflessness|altruism,cooperation|egoism
sensitize|alter,change,modify|desensitize
separate|abstracted,apart,article,assort,asunder,branch,break,categorize,change,class,classify,detached,discrete,discriminate,disjoint,displace,dissever,distinct,distinguish,disunite,diverge,divide,fork,freestanding,garment,identify,independent,individual,isolated,move,offprint,other,part,place,ramify,removed,reprint,segregated,separate,separated,single,sort,split,tell,unconnected|joint,unite
separation|alteration,breakup,cessation,change,detachment,distance,interval,modification,outcome,result,resultant,space,state,surcease,termination|union
septic|abscessed,contaminated,decay,dirty,infected,infectious,pestiferous,purulent,pussy,putrefactive,unhealthful|antiseptic
serious|critical,dangerous,difficult,earnest,good,grave,grievous,hard,important,intellectual,real,sedate,severe,sincere,sober,sobering,solemn,solid,thoughtful|frivolous,playful
seriousness|badness,earnestness,gravity,severeness,severity,sincerity,solemnity,trait|frivolity
service|activity,assist,assistance,author,avail,care,company,conjugation,copulate,couple,coupling,delivery,employment,force,function,help,helpfulness,maintenance,mate,mating,operate,overhaul,pair,personnel,serve,serving,tableware,tune,union,upkeep,work,writer|disservice
settle|accept,adjudicate,agree,arrange,become,bench,change,come,conciliate,conclude,concord,concur,consent,contend,decide,descend,determine,develop,ensconce,fall,fight,finalize,halt,hold,locate,place,pose,position,reconcile,resolve,root,settee,settle,sink,stabilize,stop,struggle,subside,terminate|float
settled|accomplished,appointed,built-up,calm,definite,determined,firm,situated|unsettled
sexual|intimate,sexy|asexual
sharp|abrupt,acute,acutely,astute,crisp,cutting,distinct,edged,forceful,high,high-pitched,incisive,intense,keen,penetrating,penetrative,perceptive,piercing,pointed,precipitous,razor-sharp,salt,sharply,shrewd,shrill,smart,stabbing,steep,sudden,tart,unpleasant|flat,natural
sharpness|acuity,acuteness,asperity,bite,clarity,clearness,conformation,contour,distinctness,edge,form,intelligence,keenness,painfulness,pungency,raciness,shape,spice,spiciness,urgency|softness
shop|betray,browse,class,course,denounce,frequent,grass,inform,obtain,outlet,patronize,search,seek,snitch,sponsor,stag,store,support,work,workplace,workshop|boycott
shrink|contract,cringe,decrease,diminish,fall,flinch,funk,lessen,move,psychiatrist,quail,recoil,reduce,shrivel,specialist,wince,wither|expand,stretch
sickness|faultiness,illness,malady,nausea,symptom|wellness
side|ancestry,area,aspect,back,blood,bloodline,broadside,choose,descent,endorse,face,facet,formation,incline,indorse,lateral,line,lineage,opinion,origin,parentage,part,pedigree,position,pull,region,root,select,sidelong,slope,spin,stock,support,surface,take,unit,view|bottom
similitude|counterpart,duplicate,duplication,likeness,similarity,twin|unlikeness
simple|bare,childlike,easy,elementary,elliptic,elongate,half-witted,herb,individual,linear,mere,mortal,naif,naive,oblong,obtuse,orbicular,ovate,person,plain,retarded,simple,simpleton,smooth,somebody,someone,soul,wide-eyed|complex,compound
simpleness|chasteness,ease,easiness,naivete,naivety,plainness,quality,restraint,simplicity|difficulty,complexity
simplicity|chasteness,ease,easiness,naivete,naivety,naturalness,plainness,quality,restraint,simpleness|difficulty,complexity
simplify|alter,change,modify|complicate
sincere|artless,cordial,dear,devout,earnest,existent,genuine,heartfelt,honest,honorable,ingenuous,real,serious,solemn,true,unfeigned,wholehearted|insincere
sincerely|truly|insincerely
sincerity|earnestness,gravity,naturalness,seriousness,solemnity,trait,truthfulness|frivolity,insincerity
single|concentrated,digit,divorced,exclusive,figure,individual,lone,lonesome,man-to-man,one-on-one,only,respective,safety,separate,several,singular,sole,solitary,undivided,uniform,unique,unity,unmarried,unvarying,unwed,various,widowed|multiple,double,common,married
singly|individually,separately,severally|multiply
singular|curious,form,funny,individual,peculiar,queer,remarkable,rummy,single,strange,unique,unusual|plural
sink|action,activity,break,bury,cesspool,cistern,collapse,decline,depression,descend,displace,drop,embed,fall,founder,give,imbed,implant,lapse,move,pass,plant,settle,sinkhole,slump,subside,sump|float,source
slenderness|deficiency,dimension,inadequacy,leanness,slightness,slimness,spareness,tenuity,thinness|thickness
slim|lean,little,reduce,slender,slenderize,slight,small,svelte,thin,turn|gain
sloppiness|carelessness,emotionalism,mawkishness,muddiness,mushiness,slovenliness,untidiness,wateriness,wetness|carefulness
slow|adagio,andante,behind,boring,decelerate,decrease,delayed,dense,dilatory,diminish,drawn-out,dull,dumb,easy,fall,gradual,ho-hum,inactive,irksome,laggard,largo,lazy,lessen,long-playing,obtuse,pokey,poky,retard,slack,slacken,slow,slowly,sluggish,stupid,sulky,tardily,tedious,tiresome,unhurried,weaken,wearisome|fast
small|bantam,bitty,diminutive,dinky,dwarfish,elfin,fine,flyspeck,gnomish,humble,immature,inferior,itsy-bitsy,itty-bitty,lesser,lilliputian,limited,little,lowercase,lowly,microscopic,midget,miniature,miniscule,minor,minuscule,minute,moderate,modest,petite,puny,runty,size,slender,slim,small-scale,smallish,soft,teensy,teeny,teeny-weeny,tiny,undersized,weensy,weeny,young|large
smallness|amount,closeness,littleness,meanness,parsimony,pettiness,size,tightness,weakness|bigness,largeness
smoker|carriage,coach,consumer,party|nonsmoker
smoky|smoking,tasty|smokeless
smooth|achievement,aerodynamic,beautify,bland,calm,compound,diplomatic,easy,embellish,entire,even,fast,fine,flowing,fluent,fluid,free,glassy,glossy,graceful,legato,liquid,placid,polish,politic,prettify,quiet,satiny,seamless,shine,silken,silky,simple,sleek,slick,slippery,still,streamlined,suave,tranquil,undulate,unlined,unruffled,velvet,velvety,waxy|rough,roughen,staccato
smoothness|blandness,eloquence,evenness,fluency,graciousness,style,suaveness,suavity,texture|roughness
snarl|complicate,distort,entangle,maze,mouth,perplex,perplexity,snap,sound,speak,talk,tangle,twine,twist,utter,utterance,verbalize,vocalization|unsnarl
soak|action,activity,affect,beat,booze,charge,cheat,chisel,consign,douse,dowse,drench,drink,fleece,fuddle,heat,hock,hook,imbue,immerse,impregnate,inebriate,intoxicate,overcharge,pawn,pluck,plume,plunge,saturate,soaking,souse,surcharge,wash,washing|undercharge
sober|alter,become,change,colorless,drab,grave,modify,sedate,serious,solemn,somber,teetotal|intoxicated,playful
soberness|earnestness,graveness,gravity,seriousness,sincerity,sobriety,somberness|drunkenness
sobriety|abstinence,dryness,earnestness,graveness,gravity,moderation,seriousness,sincerity,soberness,somberness,temperance|drunkenness
sociable|congenial,convivial,extroverted,forthcoming,friendly,mixer,outgoing,party,social|unsociable
socialism|ideology|capitalism
socialist|collective,collectivist,left,politician,politico,socialistic|capitalistic
socialistic|collective,collectivist,left,socialist|capitalistic
soft|balmy,brushed,clement,compressible,conciliatory,cottony,cushy,delicate,demulcent,diffuse,downy,dull,easy,easygoing,emollient,euphonious,flabby,flaccid,fleecy,flossy,fluffy,fricative,gentle,hushed,indulgent,lenient,light,little,mellow,mild,muffled,murmuring,murmurous,mushy,muted,napped,overstuffed,palatal,permissive,pianissimo,piano,qualitative,quiet,sibilant,small,soft-spoken,spongy,squashy,squeezable,squishy,strident,subdued,tender,unfit,velvet,velvety,voiced,warmhearted,woolly,wooly,yielding|hard,forte,unvoiced,loud
softball|ball,baseball|hardball
soft-boiled|cooked,softhearted|hardhearted
soften|alter,blunt,break,buffer,change,cushion,damp,dampen,deaden,mince,moderate,modify,relent,weaken,yield|harden,sharpen,stand
softness|balminess,blurriness,body,clemency,consistence,consistency,effeminacy,femininity,fogginess,fuzziness,gentleness,indulgence,lenience,leniency,manner,mildness,opacity,opaqueness,unfitness|sharpness,distinctness
solid|concrete,cubic,firm,form,good,hard,hearty,homogeneous,jellied,massive,matter,opaque,satisfying,semisolid,serious,shape,solid-state,solidness,sound,square,state,strong,substance,substantial,unanimous,unbroken,upstanding,whole,wholesome,worthy|liquid,gaseous
solubility|property,quality|insolubility
somewhat|fairly,middling,moderately,passably,reasonably,slightly|immoderately,unreasonably
sonic|audible|subsonic,supersonic
so-so|acceptably,indifferent,ordinary,tolerably|intolerably,unacceptably
sound|announce,appear,articulate,audio,channel,complete,deep,denote,dependable,effectual,enunciate,fathom,good,happening,healthy,heavy,intelligent,legal,levelheaded,look,measure,occurrence,phone,profound,pronounce,quantify,reasonable,reasoned,righteous,safe,secure,seem,sensation,sensible,solid,stable,strait,strong,substantial,unbroken,undamaged,uninjured,valid,vocalize,voice,water,wholesome|silence,unsound
soundness|condition,firmness,good,goodness,status,strength,wisdom|unsoundness
sour|acerbic,acid,acidic,acidify,acidity,acidulous,astringent,cocktail,dark,dour,ferment,glowering,glum,ill-natured,inharmonious,lemony,malodorous,moody,morose,off-key,rancid,saturnine,sourish,sourness,stinky,sullen,tangy,tart,tartness,taste,tasty,turn,vinegary,work|sweet,sweeten
source|action,activity,author,beginning,communicator,document,facility,generator,germ,informant,inspiration,installation,maker,obtain,origin,papers,point,publication,reference,reservoir,root,seed,thing|sink
south|region,southbound,southeast,southeastern,southerly,southern,southernmost,southward,southwest,southwestern|north
southern|austral,gray,grey,rebel,south,southerly|northern
sparingly|meagerly|amply
specialize|alter,change,dilate,elaborate,enlarge,evolve,expand,expatiate,expound,lucubrate,modify,narrow,specify,vary,work|diversify
specific|fact,limited,medicament,medication,medicine,particular,peculiar,precise,proper,special,specialized,unique|general,nonspecific
speed|accelerate,amphetamine,deepen,fastness,hasten,hotfoot,hurry,intensify,modify,motion,move,movement,pace,qualify,quicken,race,rate,ratio,rush,speeding,stimulant,swiftness,travel,upper,velocity|decelerate,linger
speedily|apace,quickly,rapidly|slowly
speedup|acceleration,speed,speeding|deceleration
spineless|gutless,invertebrate,namby-pamby,unarmed,weak,wishy-washy|vertebrate
spiny|armed,barbed,bristly,prickly,thorny|spineless
spirited|alive,animated,boisterous,bouncing,bouncy,brave,courageous,dashing,ebullient,energetic,enthusiastic,exuberant,feisty,gallant,game,gamey,gamy,gritty,impertinent,irreverent,lively,mettlesome,peppy,pert,plucky,racy,resilient,saucy,snappy,sprightly,spunky,vibrant,vivacious,whipping,yeasty,zestful,zesty,zippy|spiritless
sponsor|advocate,benefactor,exponent,frequent,helper,patron,patronize,presenter,proponent,shop,support,supporter|boycott
spotlight|foreground,glare,highlight,illuminate,illumine,lamp,light,limelight,prominence,spot|background
stability|constancy,firmness,order,steadiness|instability
stabilize|alter,brace,change,fortify,modify,steady,strengthen|destabilize
start|advantage,begin,beginning,bulge,commence,commencement,create,deform,depart,first,initiate,jump,kickoff,leave,line,make,move,offset,originate,outset,part,play,point,protrude,reflex,sign,signal,start,startle,turn,vantage|middle
stay|abide,appease,arrest,bide,block,brace,bracing,check,continue,decree,delay,detain,edict,fasten,fiat,fill,fulfil,fulfill,halt,hitch,inaction,inactivity,kibosh,meet,order,persist,quell,remain,rest,retard,satisfy,secure,slip,stay,stick,stop,stoppage,strip|change,move,depart
steadily|steady|unsteadily
steadiness|firmness,immovability,regularity,resoluteness,resolution,resolve|unsteadiness
steady|becalm,brace,calm,dependable,even,firm,fortify,frequent,level,lover,regular,resolute,rock-steady,secure,stabilize,stable,steadfast,steadily,stiff,strengthen,sure,surefooted,sweetheart,sweetie,unfaltering,unshakable,unwavering|unsteady,unsteadily
steep|abrupt,absorb,bluff,bold,center,concentrate,declension,declination,decline,declivity,descent,engross,engulf,exorbitant,extortionate,fall,focus,heavy,high,imbue,immerse,immoderate,infuse,outrageous,plunge,pore,precipitous,rivet,sharp,sheer,soak,usurious,vertical|gradual
stemless|stemmed|stemmed
stemmed|stemless|stemless
step-down|decrease,diminution,reduction|increase
step-up|increase|decrease
sterile|antiseptic,aseptic,barren,impotent,infertile,unfertilized,unfruitful,uninspired,unproductive|fertile
sterility|antisepsis,infertility|fertility
stick|adhere,adjoin,adopt,adorn,amaze,attach,baffle,beat,beautify,bedevil,befuddle,bewilder,bind,bond,butt,butter,cigarette,cleave,cling,cohere,confound,confuse,contact,decorate,deposit,dumbfound,embellish,espouse,fasten,flummox,follow,force,fuddle,grace,gravel,implement,joint,joystick,lever,limb,lodge,margarine,meet,mystify,nonplus,oleo,ornament,penalization,penalty,perplex,persist,pierce,place,pose,position,punishment,puzzle,reefer,remain,secure,stay,sting,stupefy,throw,thrust,touch,wedge|dislodge,move
stiff|besotted,body,buckram,cadaver,clay,cockeyed,corpse,crocked,drunk,effective,effectual,efficacious,fertile,firm,formal,immobile,inebriated,inflexible,intoxicated,loaded,pie-eyed,pissed,plastered,potent,potty,powerful,remains,resolute,rigid,sloshed,smashed,soused,starchy,steadfast,steady,stiffly,strong,tight,tipsy,unfaltering,unshakable,unwavering|impotent
stiffen|alter,bound,change,confine,constrain,limit,modify,restrain,restrict,throttle,tighten,trammel|loosen
stifle|articulation,asphyxiate,block,choke,conk,conquer,croak,curb,dampen,decease,exit,expire,impede,inhibit,joint,knee,muffle,obstruct,occlude,pass,perish,repress,smother,strangle,subdue,suffocate,suppress|stimulate
stigmatic|condition,individual,lens,mortal,person,somebody,someone,soul,status,symbol|astigmatic
still|allay,alter,apparatus,calm,change,comfort,conquer,console,curb,distillery,ease,even,exposure,however,hush,inactive,inhibit,lull,modify,motionless,nevertheless,nonetheless,photo,photograph,placid,plant,quiet,relieve,setup,silence,silent,smooth,solace,soothe,soundless,standing,static,stillness,stock-still,subdue,suppress,tranquil,tranquilize,tranquillize,unruffled,withal,works|agitate,moving,sparkling
stillness|calmness,hush,lifelessness,quiet,silence,state,still|motion
stimulate|affect,arouse,brace,cause,challenge,effect,effectuate,elicit,energize,evoke,excite,fire,hasten,have,impact,induce,kindle,make,provoke,raise,rush,sensitize,shake,stir,touch|sedate,stifle
stimulative|irritating,stimulant,stimulating|depressant
stinginess|trait|generosity
stingy|bare,beggarly,cheap,chintzy,close,closefisted,deficient,exiguous,grudging,hardscrabble,insufficient,marginal,meager,meagerly,mean,measly,miserable,miserly,near,niggardly,paltry,parsimonious,penurious,scanty,scarce,selfish,skinny,spare,tight,tightfisted,uncharitable,ungenerous|ample,generous
stinky|crappy,fetid,foul,funky,fusty,gamey,gamy,high,icky,lousy,malodorous,musty,noisome,odoriferous,odorous,rancid,rotten,smelly,sour,stinking|fragrant
stop|arrest,barricade,block,blockade,blockage,break,catch,cease,check,closure,conclusion,constraint,contain,defend,diaphragm,discontinue,disrupt,ending,finish,forbid,foreclose,forestall,grab,halt,hitch,impede,impediment,impedimenta,inaction,inactivity,intercept,interrupt,kibosh,knob,layover,obstruct,obstruction,occlude,occlusion,occlusive,period,place,point,preclude,prevent,punctuation,quit,restraint,spot,stay,stopover,stoppage,terminate|continue,begin,start
stormy|angry,billowy,blowy,blusterous,blustery,boisterous,breezy,choppy,dirty,fierce,furious,gusty,inclement,puffy,raging,rough,squally,tempestuous,wild,windy|calm
straddle|comprise,constitute,motility,motion,move,movement,option,perspective,position,range,represent,span,view|side
strain|affect,afflict,ancestry,apply,attempt,breed,deform,deformation,derivation,difficulty,distort,drive,effort,employ,endeavor,exertion,extend,filter,filtrate,form,harm,hurt,injury,labor,line,lineage,meaning,melody,music,nerves,nervousness,pains,puree,push,reach,separate,shape,sieve,sift,song,stock,stress,strive,substance,sweat,tenor,tense,tighten,trauma,travail,tune,utilize,variant,variety|relax
strap|band,beat,bind,fasten,flog,hanger,lash,lather,secure,sharpen,slash,trounce,welt,whip|unstrap
strength|asset,capability,durability,force,forcefulness,forte,intensity,magnitude,metier,permanence,permanency,plus,posture,potency,power,property,prosperity,speciality,specialty|weakness
strengthen|alter,change,exercise,fortify,modify,tone|weaken
stressed|accented,distressed,emphatic,masculine,troubled|unstressed
stretch|adulterate,broaden,continuance,corrupt,debase,deform,dilute,draw,duration,elastic,elasticity,elongate,exercise,expanse,extend,extension,force,grow,increase,lengthen,long,motility,motion,move,movement,pull,reach,snap,spoil,stint,straight,straightaway,strain,tense,unfold,widen,workout|shrink
strict|abstemious,austere,blue,corrective,demanding,disciplinary,exact,exacting,intolerant,invariable,monkish,puritan,puritanical,rigid,rigorous,self-denying,severe,spartan,stern|indulgent
strike|accomplish,achieve,affect,assail,assume,attack,attain,bang,blow,bump,cancel,coin,create,delete,delivery,discover,displace,dissent,even,excise,expunge,fall,find,flush,form,happen,impact,impress,level,lick,make,mint,move,occur,onrush,onset,onslaught,pass,penetrate,perforate,pitch,protest,reach,read,record,regain,register,resist,score,scratch,shape,shine,show,smash,smasher,solve,success,take,touch,work|miss
strip|airfield,airstrip,artefact,artifact,bare,cartoon,clean,clear,denude,deprive,despoil,dismantle,disrobe,divest,field,foray,funnies,leach,loot,lumber,milk,part,peel,piece,pillage,plunder,ransack,remove,rifle,sketch,slip,smooth,striptease,take,timber,unclothe,undress,withdraw|dress
submerged|aquatic,subsurface,sunken,underwater|afloat,aground
subscript|character,inferior|superscript
subsurface|submarine,submerged,subterranean,underground,undersea,underwater|overhead,surface
sufficiency|adequacy,enough,quality,wealth,wealthiness|inadequacy
suitably|befittingly,fitly,fittingly|unsuitably
sundown|hour,sunset|sunrise
sunken|hollow,submerged|afloat
sunrise|aurora,cockcrow,dawn,daybreak,hour,morning,sunup|sunset
sunset|hour,last,sundown|sunrise
sunup|aurora,cockcrow,dawn,daybreak,hour,morning,sunrise|sunset
superficial|apparent,bound,boundary,bounds,careless,dilettante,dilettantish,facile,frivolous,glib,ostensible,outward,seeming,shallow,skin-deep,sounding,surface,trivial,unimportant|profound
superhuman|divine,godlike,herculean,powerful|subhuman
superior|arch,banner,battler,belligerent,best,boss,brag,brilliant,capital,character,choice,combatant,crack,dominant,eminent,excellent,fantastic,fighter,first-class,first-rate,gilt-edged,high,high-level,higher-up,lake,leader,leading,majestic,master,outstanding,patronizing,preeminent,premium,prime,prize,pukka,quality,ranking,religious,scrapper,select,senior,shining,sterling,super,superb,superlative,superscript,supreme,surpassing,tiptop,topnotch,topping,tops,town,transcendent,unaffected,upper,victor,well-made|inferior,subscript
superiority|advantage,arrogance,caliber,domination,haughtiness,hauteur,mastery,quality,supremacy,vantage|inferiority
superscript|character,superior|subscript
supersonic|inaudible,ultrasonic|sonic,subsonic
sure|bound,careful,certain,certainly,confident,convinced,dependable,destined,doomed,fated,indisputable,positive,predestined,predictable,reliable,secure,steady,surely,true,trustworthy,trusty|unsure,uncertain
surface|airfoil,appear,artefact,artifact,ascend,aspect,bound,boundary,bounds,coat,cover,device,facet,layer,open,rise,shallow,skin-deep,superficial|subsurface,overhead
suspect|defendant,disbelieve,discredit,distrust,fishy,funny,guess,hazard,imagine,individual,litigant,litigator,mistrust,mortal,opine,person,pretend,questionable,reckon,shady,somebody,someone,soul,suppose,surmise,suspicious,think,venture|trust
swear|affirm,assert,aver,avow,bank,believe,blaspheme,curse,cuss,declare,depose,express,imprecate,rely,swan,trust,utter,verbalize,verify|mistrust,distrust
syllabic|monosyllabic,polysyllabic,script|accentual,quantitative
synergistic|cooperative,interactive|antagonistic
synonym|word|antonym
synonymous|similar|antonymous
synthesis|deduction,reasoning|analysis
synthesize|change,combine,compound|analyze
synthetic|artificial,celluloid,compound,counterfeit,imitative,inductive,logical,man-made,unreal|analytic
systematic|nonrandom,orderly,organized,regular,tabular|unsystematic
take|abide,accept,acquire,admit,adopt,affirm,apply,assert,assume,aver,avow,bang,bear,become,bring,brook,carry,change,charter,choose,claim,conduct,consider,construe,consume,contain,contract,convey,cover,cross,deal,decide,demand,determine,digest,direct,drive,employ,endure,engage,enter,exact,expend,experience,feature,fill,film,find,guide,have,head,hire,hold,hump,income,incur,ingest,interpret,involve,issue,jazz,know,lead,learn,lease,love,make,move,necessitate,need,obtain,occupy,pack,payoff,position,postulate,proceeds,purchase,read,receive,record,remove,rent,require,return,screw,select,shoot,sicken,stand,stomach,strike,study,submit,subscribe,suffer,support,swan,swear,take,takings,tolerate,track,train,transport,traverse,undergo,utilize,verify,withdraw,work,yield|disclaim,abstain,refuse,obviate,give
taken|affected,assumed,confiscate,stolen,understood|given
talented|gifted|untalented
tall|difficult,full-length,gangling,gangly,hard,high,improbable,incredible,lanky,large,leggy,long,magniloquent,marvelous,rangy,rhetorical,size,stately,statuesque,tallish,unbelievable|short
tallness|dimension,height,stature|shortness
tangle|disarrange,dishevel,distort,drag,embroil,entangle,entwine,interlace,intertwine,involve,knot,lace,maze,perplexity,ravel,snarl,sweep,tousle,twine,twist|unsnarl,disentangle,unravel
tardily|belatedly,easy,late,slow,slowly|early,quickly
tardiness|timing|punctuality
tasteful|aesthetic,artistic,elegant,esthetic,neat,pleasing,refined,understated|tasteless
tastefully|tastily|tastelessly
tasteless|barbaric,bland,brassy,camp,campy,cheap,flash,flashy,flat,flavorless,garish,gaudy,gimcrack,indelicate,inelegant,insipid,kitsch,loud,meretricious,off-color,ostentatious,pretentious,tacky,tawdry,trashy,unappetizing,unflavored,unpalatable,unsalted,unseasoned,vapid|tasteful,tasty
tastily|tastefully|tastelessly
tasty|acrid,ambrosial,appetizing,bitter,bittersweet,choice,dainty,delectable,delicious,flavorful,flavorsome,fruity,full-bodied,gingery,luscious,nippy,nutty,palatable,peppery,piquant,pungent,racy,rich,robust,salt,salty,savory,scrumptious,semisweet,smoky,sour,spicy,sweet,toothsome,winy,yummy,zesty|tasteless
tautness|condition,immovability,status,tenseness,tension,tensity,tightness|looseness
taxable|dutiable,nonexempt,subject|nontaxable
technical|bailiwick,commercial,discipline,field,foul,method,pickup,skillfulness,specialized,study,subject|nontechnical
temperance|abstinence,combination,control,moderation,restraint,sobriety|intemperance
temperate|abstemious,clement,equable,light,mild,moderate,restrained|intemperate
tense|affect,agitated,alter,change,edgy,electric,high-strung,jittery,jumpy,modify,nervous,nervy,overstrung,restive,strain,strained,suspenseful,taut,tight,tighten,turn,uneasy,uptight,wired|relax
terminate|alter,cease,change,dismiss,finish,fire,modify,remove,sack,stop|begin
terrestrial|earthly,mundane,object,planetary,worldly|amphibious,aquatic
theoretic|conjectural,hypothetical,metaphysical,notional,speculative,supposed,theoretical|empirical
theoretical|abstract,academic,conjectural,hypothetical,metaphysical,notional,pure,speculative,supposed,theoretic|applied,empirical
there|location,thither|here
thick|abundant,boneheaded,broad,chummy,clogged,close,coagulate,compact,concentrated,creamy,deep,dense,fatheaded,gelatinous,heavy,heavyset,impenetrable,inside,intense,interior,jellylike,midst,quilted,soupy,stocky,stringy,stupid,syrupy,thickheaded,thickly,thickset,thready,three-ply,two-ply,viscous,wide|thinly,thin
thicken|alter,change,modify,turn|thin
thickly|densely,thick|thinly
thickness|articulation,body,broadness,consistence,consistency,dimension,heaviness,wideness|thinness
thin|anorectic,anorexic,bladed,bony,cadaverous,capillary,cobwebby,compressed,depressed,diaphanous,dilute,emaciated,filamentous,filmy,fine,flat,flimsy,gangling,gangly,gaunt,gauzy,gossamer,haggard,hairlike,lank,lanky,lean,light,narrow,pale,papery,pinched,rare,rarefied,rawboned,reduce,reedy,scrawny,see-through,sheer,shriveled,shrunken,skeletal,skinny,sleazy,slender,slenderize,slight,slim,spare,sparse,spindly,spiritless,stringy,svelte,tenuous,thin,thinly,threadlike,thready,transparent,trim,turn,twiggy,underweight,vaporous,wafer-thin,wasted,weak,weaken,weedy,wiry,wispy,wizened|thick,thicken,gain,full,thickly
think|advisement,alter,anticipate,believe,center,cerebrate,change,cogitate,conceive,concentrate,consider,deliberation,envisage,evaluate,expect,focus,guess,imagine,intend,judge,mean,modify,opine,pore,recall,reckon,recollect,remember,retrieve,rivet,suppose,think,will,wish|forget
thinkable|believable,conceivable,credible,imaginable,possible,presumable|unthinkable
thinly|lightly,thin|thickly
thinness|body,consistence,consistency,dimension,exiguity,fineness,leanness,meagerness,narrowness,poorness,scantiness,scantness,slenderness,spareness,sparseness,sparsity,tenuity|thickness,fatness
thirsty|absorbent,absorptive,athirst,desirous,hungry,wishful|hungry
thither|there|here
thoughtful|attentive,bemused,brooding,broody,cogitative,considerate,considered,deliberate,deliberative,heedful,lost,meditative,musing,pensive,preoccupied,profound,reasoned,reflective,ruminative,serious|thoughtless
tidiness|cleanliness,neatness,order,orderliness|untidiness
tidy|clean,clean-cut,considerable,fastidious,goodly,hefty,neat,neaten,order,orderly,receptacle,respectable,shipshape,sizable,sizeable,straight,straighten,trig,trim,uncluttered|untidy
timeliness|convenience,timing|untimeliness
tire|bore,consume,degenerate,deplete,deteriorate,devolve,drop,exhaust,fatigue,hoop,jade,outwear,pall,ring,wear,weary|interest,refresh
titled|highborn,noble|untitled
tolerably|acceptably,so-so|intolerably,unacceptably
traceable|attributable|untraceable
tractable|amenable,compliant,docile,ductile,malleable,manageable,manipulable,obedient,responsive,susceptible,tamable,tame,tameable,teachable|intractable
tragedy|calamity,cataclysm,catastrophe,disaster,drama,misfortune|comedy
trained|disciplined,housebroken,skilled|untrained
tranquilize|affect,calm,comfort,console,lull,quiet,sedate,solace,soothe,still,tranquillize|agitate,stimulate
trust|allow,anticipate,bank,belief,believe,belongings,cartel,certainty,combine,commit,confide,confidence,consortium,countenance,desire,entrust,expect,faith,friendship,give,hand,holding,hope,intrust,pass,permit,pool,property,reach,reliance,rely,sell,swear,syndicate,trait,trustfulness,wish|mistrust,distrust
two-handed|ambidextrous,handed|right-handed,left-handed
unacceptably|intolerably|tolerably,acceptably
unadvised|foolish,ill-advised,imprudent,uninformed|well-advised
unaesthetic|inartistic|aesthetic
unaffected|immune,insensible,insensitive,lifelike,natural,superior,unaffected,unemotional,unimpressed,uninfluenced,unmoved,unstudied,unswayed,untouched|affected
unafraid|bold,brave,courageous,fearless,secure,unblinking,unflinching,untroubled|afraid,insecure
unarmed|barehanded,clean,defenseless,spineless,weaponless|armed
unarmored|scaleless|armored
unashamed|audacious,barefaced,bodacious,brassy,brazen,impenitent,insolent,shameless,unabashed,unblushing,unrepentant|ashamed
unashamedly|barefacedly,shamelessly|ashamedly
unassertive|reticent,retiring,submissive,timid|assertive
unbelievably|implausibly,improbably,incredibly|believably,credibly
unblock|free,issue,play,release,supply,unfreeze|freeze,block
unbreakable|shatterproof|breakable
unbroken|continuous,fallow,kept,perfect,solid,sound,undamaged,uninjured,untamed,wild|broken
unbuckle|undo|buckle
unburden|remove,take,withdraw|burden
uncertain|ambiguous,ambivalent,chancy,changeable,contingent,doubtful,dubious,flukey,fluky,hesitant,iffy,indefinite,undependable,undetermined,unreliable,unsealed,unsettled,unsure,variable|sure,certain
unclasp|release,relinquish|clasp
unclothe|deprive,disrobe,divest,expose,peel,strip,uncover,undress|dress
uncommon|especial,exceptional,particular,rare,red-carpet,special,unusual,unwonted|common
unconcern|feeling,indifference,nonchalance|concern
unconcerned|blase,blithe,careless,casual,detached,indifferent,insouciant,nonchalant,untroubled|concerned
unconfined|free|confined
unconfirmed|unofficial|confirmed
uncongenial|disagreeable,hostile,incompatible,inhospitable,unfriendly|congenial
unconnected|apart,confused,detached,disconnected,disjointed,disordered,garbled,illogical,incoherent,isolated,obscure,scattered,separate,separated,unattached,unrelated|connected
unconscious|asleep,brain,cold,comatose,head,innocent,insensible,involuntary,mind,psyche,senseless,subconscious,unaware|conscious
uncover|expose,reveal,show,unveil|cover
uncritical|noncritical|critical
uncross|open,spread,unfold|cross
uncultivated|artless,lowbrow,uncultured,unrefined|cultivated
uncut|full-length,rough,unabridged,uninjured,untrimmed|mown
undeceive|inform|deceive
undependable|erratic,fallible,uncertain,unreliable,unsound|dependable,reliable
undervalue|decrease,depreciate,devalue,diminish,disesteem,disrespect,fall,lessen,value|overestimate,overvalue
undetermined|inconclusive,open,open-ended,uncertain,undecided,unexplained,unresolved,unsettled|determinate,determined
undeveloped|budding,fallow,immature,rudimentary,unexploited,unformed,unimproved,untapped,vestigial|developed
